:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Jan 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 10 01    2.2e+06  1.7e+04  3.6e+03   1.6e+09    2.2e+07          -999.99
2018 10 02    4.9e+05  1.6e+04  3.8e+03   2.3e+09    2.5e+07          -999.99
2018 10 03    7.5e+05  1.7e+04  3.8e+03   2.2e+09    3.2e+07          -999.99
2018 10 04    6.1e+05  1.7e+04  3.5e+03   1.3e+09    1.8e+07          -999.99
2018 10 05    3.4e+05  1.7e+04  3.7e+03   7.6e+08    1.2e+07          -999.99
2018 10 06    3.2e+05  1.7e+04  3.6e+03   8.9e+08    1.5e+07          -999.99
2018 10 07    1.2e+06  1.6e+04  3.3e+03   7.5e+08    5.8e+06          -999.99
2018 10 08    3.4e+06  1.5e+04  3.2e+03   4.1e+09    2.4e+08          -999.99
2018 10 09    4.3e+06  1.7e+04  3.6e+03   8.3e+09    1.0e+09          -999.99
2018 10 10    2.8e+06  1.6e+04  3.6e+03   8.4e+09    8.9e+08          -999.99
2018 10 11    1.7e+06  1.6e+04  3.6e+03   9.9e+09    1.1e+09          -999.99
2018 10 12    1.5e+06  1.6e+04  3.8e+03   1.3e+10    1.8e+09          -999.99
2018 10 13    1.5e+06  1.7e+04  3.5e+03   6.9e+09    8.7e+08          -999.99
2018 10 14    3.8e+05  1.6e+04  3.3e+03   4.1e+08    5.6e+06          -999.99
2018 10 15    6.7e+05  1.6e+04  3.5e+03   2.0e+09    1.8e+07          -999.99
2018 10 16    4.0e+05  1.6e+04  3.5e+03   4.0e+09    5.4e+07          -999.99
2018 10 17    4.2e+05  1.6e+04  3.6e+03   3.8e+09    6.5e+07          -999.99
2018 10 18    5.4e+05  1.7e+04  3.7e+03   3.5e+09    7.0e+07          -999.99
2018 10 19    7.3e+05  1.6e+04  3.6e+03   3.3e+09    7.2e+07          -999.99
2018 10 20    9.0e+05  1.6e+04  3.7e+03   2.9e+09    6.8e+07          -999.99
2018 10 21    6.9e+05  1.6e+04  3.4e+03   9.3e+08    1.1e+07          -999.99
